Factura electrónica;;;;;;;;;;;;;;;;;;;;;;;;
Generado a las 08:21hs del 1/28/2026;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
ptovta;factura;cae;fechafc;caja;cajanom;fecha;cliente;bimp;iva;importe;efectivo;merpag;tarjetas;otros;noche;hora;ticket;orden;ndoc;tdoc;id;estado;tipo;tcom
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;01:55;4532;4527;0;99;OXFHNllWVXhQRkNBMlYwNnlUR0NCUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1733;86041240410107;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:56;4533;4528;0;99;NlR1eFJzQVhLSTJ1YWpCT05VRmxiUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:56;4534;4529;0;99;VkxFNmdsaHFDTk1hcG10WVVyc0FFdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:56;4535;4530;0;99;eEVhbXhPWC9idlRtMUxqN3Z6ZW9ELzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;01:57;4536;4531;0;99;ekFCWFV3TVE4dDhlZlM1ZHZ3eC80UDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:57;4537;4532;0;99;MzFBNzUyUU9HSEMrZGVZZURkMkUrLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1734;86041240450463;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:58;4538;4533;0;99;d0Rwd1ZjeVNPQXc3ME1tMnhuVS9rZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:00;4539;4534;0;99;b2E4ZFJYSkUxSC9hRjhrWGpoYTRkUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1735;86041240530040;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:01;4540;4535;0;99;b3RKTU1VS2NETm9SVFhlSklreHZudjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;02:02;4541;4536;0;99;aEZXYnZvMlRZaDA2Wm5MU0JCRzdldjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1736;86041240589832;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:04;4542;4537;0;99;V0IxY3NQSVBRSlUvaktXVGdzMzdFdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
